descriptor,source,nan_rate,kept
ATS5Z,mordred,0.0,True
ATS6Z,mordred,0.0,True
ATS7Z,mordred,0.0,True
ATS8Z,mordred,0.0,True
ATS0m,mordred,0.0,True
ATS1m,mordred,0.0,True
ATS2m,mordred,0.0,True
ATS3m,mordred,0.0,True
ATS4m,mordred,0.0,True
ATS5m,mordred,0.0,True
ATS6m,mordred,0.0,True
ATS7m,mordred,0.0,True
ATS8m,mordred,0.0,True
ATS0v,mordred,0.0,True
ATS1v,mordred,0.0,True
ATS2v,mordred,0.0,True
ATS3v,mordred,0.0,True
ATS4v,mordred,0.0,True
ATS5v,mordred,0.0,True
ATS6v,mordred,0.0,True
ATS7v,mordred,0.0,True
ATS8v,mordred,0.0,True
ATS0se,mordred,0.010101010101010102,True
ATS1se,mordred,0.010101010101010102,True
ATS2se,mordred,0.010101010101010102,True
ATS3se,mordred,0.010101010101010102,True
ATS4se,mordred,0.010101010101010102,True
ATS5se,mordred,0.010101010101010102,True
ATS6se,mordred,0.010101010101010102,True
ATS7se,mordred,0.010101010101010102,True
ATS8se,mordred,0.010101010101010102,True
ATS0pe,mordred,0.0,True
ATS1pe,mordred,0.0,True
ATS2pe,mordred,0.0,True
ATS3pe,mordred,0.0,True
ATS4pe,mordred,0.0,True
ATS5pe,mordred,0.0,True
ATS6pe,mordred,0.0,True
ATS7pe,mordred,0.0,True
ATS8pe,mordred,0.0,True
ATS0are,mordred,0.010101010101010102,True
ATS1are,mordred,0.010101010101010102,True
ATS2are,mordred,0.010101010101010102,True
ATS3are,mordred,0.010101010101010102,True
ATS4are,mordred,0.010101010101010102,True
ATS5are,mordred,0.010101010101010102,True
ATS6are,mordred,0.010101010101010102,True
ATS7are,mordred,0.010101010101010102,True
ATS8are,mordred,0.010101010101010102,True
ATS0p,mordred,0.0,True
ATS1p,mordred,0.0,True
ATS2p,mordred,0.0,True
ATS3p,mordred,0.0,True
ATS4p,mordred,0.0,True
ATS5p,mordred,0.0,True
ATS6p,mordred,0.0,True
ATS7p,mordred,0.0,True
ATS8p,mordred,0.0,True
ATS0i,mordred,0.0,True
ATS1i,mordred,0.0,True
ATS2i,mordred,0.0,True
ATS3i,mordred,0.0,True
ATS4i,mordred,0.0,True
ATS5i,mordred,0.0,True
ATS6i,mordred,0.0,True
ATS7i,mordred,0.0,True
ATS8i,mordred,0.0,True
AATS0dv,mordred,0.0,True
AATS1dv,mordred,0.030303030303030304,True
AATS2dv,mordred,0.08080808080808081,True
AATS3dv,mordred,0.13131313131313133,True
AATS4dv,mordred,0.1414141414141414,True
AATS5dv,mordred,0.20202020202020202,False
AATS6dv,mordred,0.26262626262626265,False
AATS7dv,mordred,0.3434343434343434,False
AATS8dv,mordred,0.3838383838383838,False
AATS0d,mordred,0.0,True
AATS1d,mordred,0.030303030303030304,True
AATS2d,mordred,0.08080808080808081,True
AATS3d,mordred,0.13131313131313133,True
AATS4d,mordred,0.1414141414141414,True
AATS5d,mordred,0.20202020202020202,False
AATS6d,mordred,0.26262626262626265,False
AATS7d,mordred,0.3434343434343434,False
AATS8d,mordred,0.3838383838383838,False
AATS0s,mordred,0.32323232323232326,False
AATS1s,mordred,0.32323232323232326,False
AATS2s,mordred,0.32323232323232326,False
AATS3s,mordred,0.3434343434343434,False
AATS4s,mordred,0.3434343434343434,False
AATS5s,mordred,0.3838383838383838,False
AATS6s,mordred,0.43434343434343436,False
AATS7s,mordred,0.47474747474747475,False
AATS8s,mordred,0.5151515151515151,False
AATS0Z,mordred,0.0,True
AATS1Z,mordred,0.030303030303030304,True
AATS2Z,mordred,0.08080808080808081,True
AATS3Z,mordred,0.13131313131313133,True
AATS4Z,mordred,0.1414141414141414,True
AATS5Z,mordred,0.20202020202020202,False
AATS6Z,mordred,0.26262626262626265,False
AATS7Z,mordred,0.3434343434343434,False
AATS8Z,mordred,0.3838383838383838,False
AATS0m,mordred,0.0,True
AATS1m,mordred,0.030303030303030304,True
AATS2m,mordred,0.08080808080808081,True
AATS3m,mordred,0.13131313131313133,True
AATS4m,mordred,0.1414141414141414,True
AATS5m,mordred,0.20202020202020202,False
AATS6m,mordred,0.26262626262626265,False
AATS7m,mordred,0.3434343434343434,False
AATS8m,mordred,0.3838383838383838,False
AATS0v,mordred,0.0,True
AATS1v,mordred,0.030303030303030304,True
AATS2v,mordred,0.08080808080808081,True
AATS3v,mordred,0.13131313131313133,True
AATS4v,mordred,0.1414141414141414,True
AATS5v,mordred,0.20202020202020202,False
AATS6v,mordred,0.26262626262626265,False
AATS7v,mordred,0.3434343434343434,False
AATS8v,mordred,0.3838383838383838,False
AATS0se,mordred,0.010101010101010102,True
AATS1se,mordred,0.04040404040404041,True
AATS2se,mordred,0.09090909090909091,True
AATS3se,mordred,0.13131313131313133,True
AATS4se,mordred,0.1414141414141414,True
AATS5se,mordred,0.20202020202020202,False
AATS6se,mordred,0.26262626262626265,False
AATS7se,mordred,0.3434343434343434,False
AATS8se,mordred,0.3838383838383838,False
AATS0pe,mordred,0.0,True
AATS1pe,mordred,0.030303030303030304,True
AATS2pe,mordred,0.08080808080808081,True
AATS3pe,mordred,0.13131313131313133,True
AATS4pe,mordred,0.1414141414141414,True
AATS5pe,mordred,0.20202020202020202,False
AATS6pe,mordred,0.26262626262626265,False
AATS7pe,mordred,0.3434343434343434,False
AATS8pe,mordred,0.3838383838383838,False
AATS0are,mordred,0.010101010101010102,True
AATS1are,mordred,0.04040404040404041,True
AATS2are,mordred,0.09090909090909091,True
AATS3are,mordred,0.13131313131313133,True
AATS4are,mordred,0.1414141414141414,True
AATS5are,mordred,0.20202020202020202,False
AATS6are,mordred,0.26262626262626265,False
AATS7are,mordred,0.3434343434343434,False
AATS8are,mordred,0.3838383838383838,False
AATS0p,mordred,0.0,True
AATS1p,mordred,0.030303030303030304,True
AATS2p,mordred,0.08080808080808081,True
AATS3p,mordred,0.13131313131313133,True
AATS4p,mordred,0.1414141414141414,True
AATS5p,mordred,0.20202020202020202,False
AATS6p,mordred,0.26262626262626265,False
AATS7p,mordred,0.3434343434343434,False
AATS8p,mordred,0.3838383838383838,False
AATS0i,mordred,0.0,True
AATS1i,mordred,0.030303030303030304,True
AATS2i,mordred,0.08080808080808081,True
AATS3i,mordred,0.13131313131313133,True
AATS4i,mordred,0.1414141414141414,True
AATS5i,mordred,0.20202020202020202,False
AATS6i,mordred,0.26262626262626265,False
AATS7i,mordred,0.3434343434343434,False
AATS8i,mordred,0.3838383838383838,False
ATSC0c,mordred,0.020202020202020204,True
ATSC1c,mordred,0.020202020202020204,True
ATSC2c,mordred,0.020202020202020204,True
ATSC3c,mordred,0.020202020202020204,True
ATSC4c,mordred,0.020202020202020204,True
ATSC5c,mordred,0.020202020202020204,True
ATSC6c,mordred,0.020202020202020204,True
ATSC7c,mordred,0.020202020202020204,True
ATSC8c,mordred,0.020202020202020204,True
ATSC0dv,mordred,0.0,True
ATSC1dv,mordred,0.0,True
ATSC2dv,mordred,0.0,True
ATSC3dv,mordred,0.0,True
ATSC4dv,mordred,0.0,True
ATSC5dv,mordred,0.0,True
ATSC6dv,mordred,0.0,True
ATSC7dv,mordred,0.0,True
ATSC8dv,mordred,0.0,True
ATSC0d,mordred,0.0,True
ATSC1d,mordred,0.0,True
ATSC2d,mordred,0.0,True
ATSC3d,mordred,0.0,True
ATSC4d,mordred,0.0,True
ATSC5d,mordred,0.0,True
ATSC6d,mordred,0.0,True
ATSC7d,mordred,0.0,True
ATSC8d,mordred,0.0,True
ATSC0s,mordred,0.32323232323232326,False
ATSC1s,mordred,0.32323232323232326,False
ATSC2s,mordred,0.32323232323232326,False
ATSC3s,mordred,0.32323232323232326,False
ATSC4s,mordred,0.32323232323232326,False
ATSC5s,mordred,0.32323232323232326,False
ATSC6s,mordred,0.32323232323232326,False
ATSC7s,mordred,0.32323232323232326,False
ATSC8s,mordred,0.32323232323232326,False
ATSC0Z,mordred,0.0,True
ATSC1Z,mordred,0.0,True
ATSC2Z,mordred,0.0,True
ATSC3Z,mordred,0.0,True
ATSC4Z,mordred,0.0,True
ATSC5Z,mordred,0.0,True
ATSC6Z,mordred,0.0,True
ATSC7Z,mordred,0.0,True
ATSC8Z,mordred,0.0,True
ATSC0m,mordred,0.0,True
ATSC1m,mordred,0.0,True
ATSC2m,mordred,0.0,True
ATSC3m,mordred,0.0,True
ATSC4m,mordred,0.0,True
ATSC5m,mordred,0.0,True
ATSC6m,mordred,0.0,True
ATSC7m,mordred,0.0,True
ATSC8m,mordred,0.0,True
ATSC0v,mordred,0.0,True
ATSC1v,mordred,0.0,True
ATSC2v,mordred,0.0,True
ATSC3v,mordred,0.0,True
ATSC4v,mordred,0.0,True
ATSC5v,mordred,0.0,True
ATSC6v,mordred,0.0,True
ATSC7v,mordred,0.0,True
ATSC8v,mordred,0.0,True
ATSC0se,mordred,0.010101010101010102,True
ATSC1se,mordred,0.010101010101010102,True
ATSC2se,mordred,0.010101010101010102,True
ATSC3se,mordred,0.010101010101010102,True
ATSC4se,mordred,0.010101010101010102,True
ATSC5se,mordred,0.010101010101010102,True
ATSC6se,mordred,0.010101010101010102,True
ATSC7se,mordred,0.010101010101010102,True
ATSC8se,mordred,0.010101010101010102,True
ATSC0pe,mordred,0.0,True
ATSC1pe,mordred,0.0,True
ATSC2pe,mordred,0.0,True
ATSC3pe,mordred,0.0,True
ATSC4pe,mordred,0.0,True
ATSC5pe,mordred,0.0,True
ATSC6pe,mordred,0.0,True
ATSC7pe,mordred,0.0,True
ATSC8pe,mordred,0.0,True
ATSC0are,mordred,0.010101010101010102,True
ATSC1are,mordred,0.010101010101010102,True
ATSC2are,mordred,0.010101010101010102,True
ATSC3are,mordred,0.010101010101010102,True
ATSC4are,mordred,0.010101010101010102,True
ATSC5are,mordred,0.010101010101010102,True
ATSC6are,mordred,0.010101010101010102,True
